SP_slope,LIR_slope,KR_slope,LS_slope,Industry,Code
0.007027653570895456,0.005078388235757784,0.0035906181844041433,0.00022150779918635508,Farms,110C
0.0017668501442750363,0.001079207650039507,0.07373924265288069,0.005379814531398853,"Forestry, fishing, and related activities",113F
-0.005734494789059938,-0.017194589475620775,0.0013577356426222372,-0.004967081514674166,Oil and gas extraction,2110
0.020019020671937084,0.004167224745454776,0.007551369105760297,-0.010610778492773794,"Mining, except oil and gas",2120
0.0051990722896792406,0.06393290370680513,0.07230301749338477,-0.006856140598277989,Support activities for mining,2130
0.006032821668959048,0.005275981979419852,0.0048249607265384254,0.0007284453538930882,Utilities,2200
0.0042342610849937365,0.0031214997810955288,0.10066084940362591,-0.004980403530576837,Construction,2300
0.008489016771972755,0.0032420878131571265,0.012506013887718203,-0.0026652837465161268,Food and beverage and tobacco products,311A
-0.004965126073289123,0.00800145913166101,0.01581674181910556,-0.000982618939233946,Textile mills and textile product mills,313T
-0.00971319812679748,0.010627342021519761,0.010517151183796234,0.00734627402174479,Apparel and leather and allied products,315A
0.014124344274070534,0.0018484174378594225,0.03260247528221355,-0.002476173661994337,Wood products,3210
0.009641828935900822,0.0029445153083776806,0.04736721142523746,-0.00146856323353179,Paper products,3220
0.02296994027513983,0.0754271576065331,0.04055564452586584,-0.009843545161856537,Printing and related support activities,3230
-0.0017090957068797673,0.001276466126971064,0.026385775883705685,-0.0066459664715202565,Petroleum and coal products,3240
0.015339402889093537,0.030193751683251585,0.022793744370435454,-0.0057702229505545806,Chemical products,3250
0.0066316545183098445,-0.00019058618355038108,0.05662618088219939,-0.0017945984100254978,Plastics and rubber products,3260
0.007173717979867618,0.0014047902206961043,0.041493106569542165,-0.006097073403559701,Nonmetallic mineral products,3270
0.003683738960918624,0.0037123551881504883,0.017996667840793304,-0.010027884553299397,Primary metals,3310
0.007484039973250771,0.0023058340849659233,0.06414275386734362,-0.0016497908555305298,Fabricated metal products,3320
0.010357914630131622,0.0097714656953264,0.04620924816424283,-0.0042388735915240335,Machinery,3330
0.009683453075126677,0.03350395672782695,0.028654648672702423,-0.0064542504389756,Computer and electronic products,3340
0.006315580457520302,0.03109423051217606,0.024572528631689617,0.00010446157982015863,"Electrical equipment, appliances, and components",3350
0.016584001732215747,0.005564542420451247,0.07263259951507434,-0.007303958913377434,"Motor vehicles, bodies and trailers, and parts",336M
0.012385820438721589,0.01793467360160566,0.030657394251033913,-0.0060481964884611696,Other transportation equipment,336O
0.006934757825662459,0.001048312127571569,0.029758543360294782,-0.0017910090743535852,Furniture and related products,3370
0.007948517239528028,0.01841619374726293,0.03968294669951066,-0.0006929283951182568,Miscellaneous manufacturing,338A
0.009217474006176063,0.009472732645095737,0.020671994642746296,-0.004571250367651131,Wholesale trade,4200
0.012431512113961094,0.005256185382499265,0.010342765308124738,-0.00385173975953556,Retail trade,44RT
0.011118489209247127,0.018596625090579782,0.09581899771434209,-0.009620277951266893,Air transportation,4810
-0.0047833899035661705,0.005168456931147603,0.0002135163042515882,-0.010380712783581957,Rail transportation,4820
0.008137756770159854,0.0054155670317477134,0.14515115288592698,-0.0037357853957860118,Water transportation,4830
0.007273122167147942,0.0007058510252177504,0.11269449736067075,-0.0030086618080499513,Truck transportation,4840
0.00747298494321028,0.0016427957911180893,0.05430910487986481,-0.006768247655055787,Transit and ground passenger transportation,4850
-0.000214510348627384,0.002463517232459157,0.01877697542328515,-0.0007368794114832323,Other transportation and support activities,487S
,,0.011422825180924157,-0.0005172373290519507,Warehousing and storage,4930
0.010248071429218,0.011538892655770471,0.010780358666999659,0.0029094138084658503,Motion picture and sound recording industries,5120
0.015714167259567726,0.019068193490700245,0.011921880565656075,-0.002586271545285444,Broadcasting and telecommunications,5130
0.008897638363853448,0.04098592873790439,0.03987388230251112,-0.0009947646580214793,"Federal Reserve banks, credit intermediation, and related activities","5210,5220"
0.010761267503603253,0.029750165234388525,0.011270920206001392,-0.0071604818943519985,Insurance carriers and related activities,5240
0.009326702923649304,0.1171487359250167,0.0003286090661378577,0.00019334905325806045,"Funds, trusts, and other financial vehicles",5250
